id,customer name,comapny name,product name,product code,order quantity,orders completed,qc by,created by,updated by,updated on,updated date,created on,created date
94,Carlin Pawson,Kuphal-McGlynn,Fix San,67777-232,58,7,Nikolia Bernier,Livy Dubber,Opaline Makey,3:27 PM,9/30/2018,7:46 AM,8/25/2018
95,Arne Joan,"Wisozk, Johnston and Dare",Zaam-Dox,41250-313,82,37,Dulci Sammonds,Sean Arnault,Shell Durward,1:50 AM,4/2/2019,5:16 AM,7/3/2018
96,Emyle Moorman,Ullrich Group,Transcof,59630-142,99,21,Bradan Comiam,Emylee Wilkowski,Lorraine Milberry,4:01 PM,1/11/2019,3:25 PM,11/1/2018
97,Dionysus Hardson,"Stroman, Upton and Mueller",Bamity,66403-309,74,42,Cristobal Stoffler,Laurent Tudgay,Joaquin Haney,2:12 AM,3/27/2019,7:33 PM,7/13/2018
98,Kylila Daltrey,Mosciski and Sons,Tampflex,54569-0574,21,90,Carmelina Hourican,Scot Yair,Francis Dutchburn,10:24 AM,1/8/2019,11:10 PM,10/11/2018
99,Emmott Gleder,Abernathy-Wisoky,Zoolab,24451-008,12,56,Vladamir Yandle,Tucker Davydkov,Ogdon Somerville,6:01 AM,11/3/2018,4:42 PM,8/9/2018
100,Robbyn Orrocks,Orn and Sons,Zaam-Dox,36800-195,26,27,Dodie Sommers,Randal Nevett,Libbie Hurdwell,6:02 AM,1/28/2019,7:45 AM,3/3/2019
101,Packston Losebie,"Jacobs, Larkin and Connelly",Stronghold,50051-0016,1,94,Ainslee McDirmid,Bernadina Pochet,Adham Brunesco,6:38 AM,6/3/2019,3:42 AM,6/9/2019
102,Cully Gott,Altenwerth-Koelpin,Cardify,48951-1184,1,19,Alanson Behne,Durward Harold,Ruperto Massingham,6:43 AM,2/21/2019,5:43 AM,9/18/2018
103,Frederik Ravenscroftt,"Swift, Thiel and Schroeder",Voltsillam,42549-496,66,43,Layne Inglesent,Hendrick Tiron,Erika Attwoul,7:19 PM,1/27/2019,5:37 PM,7/31/2018
104,Alexina O' Dornan,Feest and Sons,Domainer,70253-190,91,32,Kristina Bawden,Jeth McIleen,Chaunce Soane,3:24 PM,1/25/2019,4:00 AM,12/20/2018
105,Millie Spinetti,Price and Sons,Duobam,65044-1783,17,30,Susette Lillecrop,Hannah Champness,Joellen Cawkwell,11:32 AM,8/15/2018,12:38 AM,5/14/2019
106,Jackson Puddefoot,"Cruickshank, Waters and Gorczany",Vagram,25021-114,49,2,Berkeley Nockolds,Candice Greim,Duff Pescod,2:49 AM,1/26/2019,12:01 AM,8/18/2018
107,Annmaria Bullene,Predovic-Mayer,Domainer,0113-0117,42,18,Patsy Caulliere,Everard MacPeice,Lenna Yerlett,3:29 PM,6/27/2019,12:43 PM,3/30/2019
108,Shermie Cardew,"Bartoletti, Hackett and Mraz",Latlux,47219-102,35,9,Janos Bew,Kendrick Lamas,Nadya Warder,10:37 AM,5/6/2019,6:36 PM,2/20/2019
109,Dare Elsy,Orn and Sons,Zoolab,0615-5585,76,82,Nicholle Collisson,Sascha Shurmore,Ashla Blei,11:45 PM,5/19/2019,12:55 PM,9/11/2018
110,Christin Clayden,Upton Group,Fix San,41190-359,38,20,Bailie Morales,Bradney Dumbelton,Stan Featherstone,6:53 PM,5/23/2019,12:26 AM,8/23/2018
111,Gardner Walpole,"Aufderhar, Hintz and Hane",Mat Lam Tam,10157-9800,93,16,Rriocard Losel,Gwendolin Perrigo,Katalin Piller,11:30 AM,1/2/2019,2:02 AM,1/1/2019
112,Ashia Joffe,Gaylord LLC,Andalax,33261-628,86,24,Elianora Rambaut,Bettine Bampkin,Christabella Fomichkin,1:17 PM,5/17/2019,1:22 AM,7/18/2018
113,Matelda Niche,Ullrich Inc,Pannier,0093-7178,27,37,Edd Rutigliano,Silvie Ramelot,Meridith Farthin,3:03 AM,11/12/2018,8:11 AM,9/4/2018
114,Kali Marquand,Kunde-Rau,Biodex,31722-713,13,47,Karin Lattin,Gavrielle Byars,Chiquia Chalcot,9:33 PM,5/20/2019,1:15 PM,9/9/2018
115,Kenton De Michetti,Herzog and Sons,Rank,0409-7295,81,5,Carry McGrowther,Fidole Shopcott,Augustine Boggers,12:22 PM,8/2/2018,2:55 PM,11/3/2018
116,Genevra Rosenwald,"Barton, Weber and Lakin",Sonair,60986-1020,10,77,Giraldo Labrum,Conny Veelers,Vivia Dyke,5:33 PM,11/8/2018,3:40 PM,5/6/2019
117,Sonya Blundin,Purdy and Sons,Holdlamis,51079-284,25,53,Angelia Snazel,Caril Dainty,Hamlen Blaszczyk,4:44 AM,5/30/2019,8:12 AM,6/25/2019
118,Karee Broadbent,Rosenbaum LLC,Namfix,0573-0215,77,100,Sven McGrey,Ingunna Dallemore,Alejandrina Sproat,7:35 PM,2/4/2019,7:22 PM,10/27/2018
119,Troy Rableau,Runolfsdottir and Sons,Stim,55111-145,1,39,Missie Cresar,Orbadiah Larner,Lucinda Rottenbury,12:24 AM,3/8/2019,5:57 PM,2/17/2019
120,Humfrid Madner,Ratke Inc,Stim,0363-0452,75,78,Ethelyn McKay,Rudolph Akister,Morie Beedon,10:00 PM,9/28/2018,6:12 PM,7/25/2018
121,Starlin Binton,"Cassin, Heathcote and Tremblay",Solarbreeze,16729-154,89,54,Mick Maskelyne,Camella Greenroyd,Marlon Sotham,9:34 PM,4/13/2019,1:52 PM,3/8/2019
122,Mae Maker,Dare-Bayer,Toughjoyfax,52118-002,16,81,Ronna Gerrietz,Melody Rockliffe,Martina Lahy,11:00 AM,7/25/2018,7:56 PM,1/5/2019
123,Graham Beardsall,Kunde LLC,Ventosanzap,11118-1030,17,8,Netty Loreit,Sheeree McMurrugh,Joana Kyneton,12:46 AM,5/19/2019,3:02 PM,1/23/2019
124,Roman Skitch,"Wiegand, Collins and Stracke",Hatity,62713-940,5,44,Sauncho Budge,Xylia Start,Carlyle Vasenkov,3:35 PM,3/17/2019,9:03 AM,3/3/2019
125,Loria Tiplady,Hills Group,Otcom,76354-202,40,14,Delly Paraman,Atlanta Wyeld,Dino Beake,10:18 AM,9/3/2018,9:40 AM,12/3/2018
126,Nichole Brunsdon,"Steuber, Cruickshank and Harber",Quo Lux,48951-5037,24,10,Crystie Brazel,Carmencita Joe,Rosalyn Letcher,2:03 PM,4/12/2019,6:22 AM,9/20/2018
127,Trudie Zanneli,"Okuneva, Walter and Fadel",Cookley,36987-2617,73,61,Chrystal Pren,Correna Gullivent,Tomas Asson,2:05 PM,3/25/2019,9:25 PM,9/15/2018
128,Neddy Willbourne,Jacobi LLC,Flexidy,11534-013,82,70,Vidovic Elsie,Saxe Fermoy,Sigfrid Threadgould,7:08 AM,11/30/2018,5:13 PM,4/3/2019
129,Demetrius Doubleday,"Walker, O'Connell and Walker",Stringtough,58232-9809,89,2,Cosetta Baxstair,Guthrey Pecht,Zandra Gooda,7:42 PM,4/1/2019,7:23 AM,5/27/2019
130,Enriqueta Komorowski,"Cole, Graham and Dickens",Latlux,52544-011,68,30,Beverlie Da Costa,Gregorio Neenan,Nancy Diloway,3:14 PM,2/6/2019,1:03 AM,12/11/2018
131,Reamonn Winning,Spencer-Conroy,Solarbreeze,51672-4055,54,13,Susette Speares,Sancho Vida,Abeu Pryde,1:17 AM,3/11/2019,2:20 PM,12/15/2018
132,Nevile O'Keenan,Dibbert Inc,Rank,60505-0749,31,17,Georas Bellringer,Elsey Pedracci,Mamie Smorthit,5:29 AM,2/14/2019,3:45 AM,5/17/2019
133,Riki Balke,"Towne, Beer and Denesik",Job,36987-2279,30,78,Arlie Zoane,Osbourne Carvilla,Guendolen Crawshay,4:35 PM,4/3/2019,4:42 AM,4/23/2019
134,Barbra de Marco,Wisoky and Sons,Overhold,60760-414,88,51,Nilson MacNamara,Heida Essex,Keefe Chaddock,1:35 PM,11/6/2018,7:57 PM,3/17/2019
135,Nicholas Sango,Littel-Ruecker,Y-find,35356-622,70,64,Hayyim Rosewarne,Barrie Barbrook,Chelsae Norrington,8:31 PM,6/14/2019,9:35 PM,7/26/2018
136,Bert Fowley,Stark-Metz,Rank,10631-093,83,70,Norman Worthy,Kelwin Polon,Bartolomeo Howsden,8:01 PM,7/29/2018,5:21 PM,6/15/2019
137,Sharon Dodman,Nitzsche-Rosenbaum,Matsoft,75874-701,24,4,Zachary Hankinson,Krista Hurkett,Dallon Tunnick,4:26 PM,7/7/2018,5:59 AM,9/17/2018
138,Tuck Baglan,Spinka-Moore,Sub-Ex,68645-417,81,75,Viv Twamley,Micaela Botha,Otto Theuss,3:58 AM,12/27/2018,1:21 PM,12/30/2018
139,Kain Franz,Treutel LLC,Tempsoft,64009-333,66,39,Johna Stellin,Cami Braunstein,Colline De La Salle,1:15 PM,12/24/2018,11:56 AM,4/24/2019
140,Rod Ellgood,"Satterfield, Strosin and Wisoky",Span,54575-211,4,2,Grenville Toon,Gallagher Lewson,Sosanna Sharvill,8:23 AM,8/31/2018,4:29 AM,5/21/2019
141,Mareah Zima,Lockman-Zemlak,Sub-Ex,55315-528,63,52,Tomkin Nagle,Lizzy Guillon,Ingunna Episcopio,12:20 AM,3/14/2019,7:45 AM,5/10/2019
142,Karen McGannon,Gorczany-Renner,Aerified,0186-6040,96,6,Courtney Valsler,Tessi Ricciardiello,Venita Stenner,10:55 PM,2/3/2019,5:01 PM,11/13/2018
143,Nicolina Alecock,"Keeling, Huel and Tremblay",Temp,55714-2270,43,34,Keir Jansky,Salvatore Brazener,Isidro Moxham,7:43 PM,10/9/2018,1:45 AM,11/10/2018
144,Kev Carrabot,"Buckridge, Turner and Terry",Ventosanzap,52054-803,88,13,Ralph Strelitzki,Wilow Legges,Amelina Gilcrist,11:10 PM,3/3/2019,3:23 PM,5/26/2019
145,Cahra Karlsson,"Rosenbaum, Kuphal and Gulgowski",Bytecard,59779-218,95,34,Huey Patel,Denise New,Mallory Selwyne,3:55 PM,4/8/2019,5:38 AM,7/24/2018
146,Felicity Johananov,Jones-Blanda,Regrant,42254-306,77,99,Alphonso Cassidy,Doralynne Du Plantier,Debora Stooders,1:20 AM,5/15/2019,2:10 AM,2/5/2019
147,Moishe Czajkowska,Bogisich-Moen,Keylex,65954-382,67,16,Page Treneman,Lana Smooth,Salaidh Gallemore,2:31 PM,3/12/2019,5:45 PM,4/24/2019
